"num","cc","subversion","WI","GE","BR"
"7","SL",1,"","SLGE71FL.shp",""
"0","SN",1,"","","SNBR02FL.dta"
"2","SN",1,"","SNGE23FL.shp","SNBR21FL.dta"
"3","SN",1,"SNWI32FL.DTA","SNGE32FL.shp","SNBR32FL.dta"
"4","SN",2,"","SNGE4BFL.shp","SNBR4HFL.dta"
"5","SN",2,"","SNGE5AFL.shp","SNBR5HFL.DTA"
"6","SN",1,"","SNGE61FL.shp","SNBR61FL.DTA"
"6","SN",2,"","SNGE6AFL.shp","SNBR6DFL.DTA"
"7","SN",2,"","SNGE7AFL.shp","SNBR7HFL.DTA"
"7","SN",4,"","","SNBR7ZFL.DTA"
"7","SN",3,"","SNGE7IFL.shp",""
"5","ST",1,"","","STBR50FL.DTA"
"5","SZ",1,"","SZGE53FL.shp","SZBR51FL.DTA"
"3","TD",1,"TDWI31FL.DTA","","TDBR31FL.dta"
"4","TD",1,"","","TDBR41FL.DTA"
"7","TD",1,"","TDGE71FL.shp","TDBR71FL.DTA"
"0","TG",1,"","TGGE03FL.shp","TGBR01FL.dta"
"3","TG",1,"TGWI31FL.DTA","TGGE32FL.shp","TGBR31FL.dta"
"6","TG",1,"","TGGE62FL.shp","TGBR61FL.DTA"
"7","TG",1,"","TGGE71FL.shp",""
"0","TH",1,"","","THBR01FL.dta"
"6","TJ",1,"","TJGE61FL.shp","TJBR61FL.DTA"
"7","TJ",1,"","TJGE71FL.shp","TJBR70FL.DTA"
"6","TL",1,"","TLGE62FL.shp","TLBR61FL.DTA"
"7","TL",1,"","TLGE71FL.shp","TLBR71FL.DTA"
"0","TN",1,"","","TNBR02FL.dta"
"4","TN",1,"","","TNBR42FL.dta"
"3","TR",1,"TRWI31FL.DTA","","TRBR31FL.dta"
"4","TR",1,"TRWI41FL.DTA","","TRBR42FL.dta"
"4","TR",2,"","","TRBR4AFL.DTA"
"5","TR",1,"","","TRBR51FL.DTA"
"6","TR",1,"","","TRBR61FL.DTA"
"0","TT",1,"","","TTBR01FL.dta"
"2","TZ",1,"","","TZBR21FL.dta"
"3","TZ",2,"TZWI3AFL.DTA","","TZBR3AFL.dta"
"4","TZ",1,"TZWI41FL.DTA","TZGE43FL.shp","TZBR41FL.dta"
"4","TZ",3,"","","TZBR4IFL.DTA"
"5","TZ",1,"","TZGE52FL.shp","TZBR51FL.DTA"
"6","TZ",1,"","TZGE61FL.shp","TZBR63FL.DTA"
"6","TZ",2,"","TZGE6AFL.shp","TZBR6AFL.DTA"
"7","TZ",2,"","TZGE7AFL.shp","TZBR7AFL.DTA"
